Demand name,Path_0,Path_1,Path_2,Path_3,Path_4,Path_5,Path_6,Path_7,Path_8,Path_9
Essen_Duesseldorf,1,0,0
Essen_Koeln,0,1,0
Essen_Dortmund,1,0,0
Essen_Aachen,1,0,0
Essen_Muenster,1,0,0
Essen_Koblenz,1,0,0
Essen_Siegen,1,0,0
Essen_Wesel,1,0,0
Essen_Berlin,1,0,0
Essen_Leipzig,1,0,0
Essen_Dresden,1,0,0
Essen_Erfurt,0,1,0
Essen_Chemnitz,1,0,0
Essen_Schwerin,1,0,0
Essen_Magdeburg,0,0,1
Essen_Hamburg,0,1,0
Essen_Bremen,1,0,0
Essen_Kiel,1,0,0
Essen_Norden,1,0
Essen_Hannover,1,0,0
Essen_Bielefeld,1,0,0
Essen_Osnabrueck,0,1,0
Essen_Frankfurt,0,1,0
Essen_Darmstadt,0,1,0
Essen_Mannheim,1,0,0
Essen_Saarbruecken,1,0,0
Essen_Stuttgart,1,0,0
Essen_Karlsruhe,1,0,0
Essen_Muenchen,1,0,0
Essen_Augsburg,1,0,0
Essen_Nuernberg,1,0,0
Essen_Wuerzburg,1,0,0
Duesseldorf_Koeln,1,0,0
Duesseldorf_Dortmund,1,0,0
Duesseldorf_Aachen,1,0,0
Duesseldorf_Muenster,1,0,0
Duesseldorf_Koblenz,0,1,0
Duesseldorf_Siegen,1,0,0
Duesseldorf_Wesel,0,1,0
Duesseldorf_Berlin,0,1,0
Duesseldorf_Leipzig,0,1,0
Duesseldorf_Dresden,1,0,0
Duesseldorf_Erfurt,0,1,0
Duesseldorf_Schwerin,1,0,0
Duesseldorf_Magdeburg,1,0,0
Duesseldorf_Greifswald,0,1,0
Duesseldorf_Hamburg,1,0,0
Duesseldorf_Bremen,1,0,0
Duesseldorf_Kiel,1,0,0
Duesseldorf_Oldenburg,1,0,0
Duesseldorf_Flensburg,1,0,0
Duesseldorf_Bremerhaven,1,0,0
Duesseldorf_Norden,1,0
Duesseldorf_Hannover,0,1,0
Duesseldorf_Bielefeld,1,0,0
Duesseldorf_Braunschweig,0,1,0
Duesseldorf_Osnabrueck,0,1,0
Duesseldorf_Kassel,1,0,0
Duesseldorf_Frankfurt,1,0,0
Duesseldorf_Darmstadt,1,0,0
Duesseldorf_Mannheim,1,0,0
Duesseldorf_Giessen,1,0,0
Duesseldorf_Trier,1,0,0
Duesseldorf_Fulda,1,0,0
Duesseldorf_Saarbruecken,1,0,0
