Link name,Demand diff
L1,8.858470748298402
L2,0.2697172408019526
L3,4.8420319254301205
L4,22.88044181270874
L5,2.000957869955897
L6,10.990401224804941
L7,7.179582417812938
L8,22.982381445428018
L9,9.243183098354507
L10,8.190824252393497
L11,20.12284834261098
L12,5.181996399496526
L13,12.196888191127442
L14,14.367033536253132
L15,27.099308820387336
L16,4.39338947977015
L17,27.243841756873614
L18,10.27994161669406
L19,12.731832990534372
L20,4.5502351691375935
L21,9.380840147220685
L22,6.904363847750091
L23,7.897143981636162
L24,21.3146726549012
L25,8.335536881382694
L26,18.88122376030474
L27,21.704642524473712
L28,4.204002156076086
L29,8.603637275900795
L30,18.017822984720503
L31,17.29715673356165
L32,14.378200618931533
L33,0.5741477446916576
L34,0.13201318769210957
L35,22.631081592239155
L36,19.5212788869878
L37,23.6946411951198
L38,24.2152743479881
L39,21.15491751762417
L40,12.562089874107315
L41,15.116694414985218
L42,14.49546662426647
L43,8.443087207014457
L44,19.606785127059283
L45,11.419426122084118
L46,3.3334850585666302
L47,20.39396226165097
L48,6.853934863069583
L49,24.439045168582958
L50,7.83257617315634
L51,12.018077136296032
L52,4.554107450090299
L53,13.099902904669861
L54,16.491038520768136
L55,0.05742129848975708
L56,3.6441701203218884
L57,9.698485904005423
L58,31.04549040657666
L59,11.498087124051807
L60,4.4055479688369985
L61,25.54854282275454
L62,7.505735655749618
L63,6.321913234152888
L64,35.26690403993585
L65,6.347801792658856
L66,6.77108630839993
L67,19.417533647388048
L68,0.5467911206806519
L69,3.962757041223682
L70,35.045865411563376
L71,1.3955752823195553
L72,3.3671701953813766
L73,2.8341936018877476
L74,4.065212776620228
L75,37.79522312334089
L76,17.54049404313561
L77,7.839234202310678
L78,8.660418678645986
L79,22.38577518155168
L80,10.582277666631022
L81,20.81939537604865
L82,5.731548613784213
L83,23.6461011780711
L84,17.378533509594035
L85,24.385276194641392
L86,16.112651168858775
L87,20.46320555402798
L88,11.210596703935128

